phase_type,phase,noun_share,verb_share,adj_share,adv_share,modal_share
health,during_health,0.332954,0.154102,0.083306,0.035703,0.012049
health,post_health,0.33308,0.153535,0.084433,0.034815,0.011333
health,pre_health,0.34539,0.149744,0.082382,0.035959,0.01224
security,during_security,0.332909,0.153708,0.084317,0.034786,0.011392
security,pre_security,0.341449,0.151061,0.082759,0.03587,0.012135
