,precision,recall,f1-score,support,accuracy
negative,0.0,0.0,0.0,19.0,0.7013342456380431
neutral,0.30952380952380953,0.04838709677419355,0.08369098712446352,806.0,0.7013342456380431
positive,0.7189846263854129,0.9585319351763585,0.8216547497446374,2098.0,0.7013342456380431
accuracy,0.7013342456380431,0.7013342456380431,0.7013342456380431,0.7013342456380431,0.7013342456380431
macro avg,0.34283614530307416,0.3356396773168507,0.3017819122897003,2923.0,0.7013342456380431
weighted avg,0.6014046994980455,0.7013342456380431,0.61282470085069,2923.0,0.7013342456380431
