label,precision,recall,f1-score,support,accuracy,topic_name
0,0.9097222222222222,0.8791946308724832,0.89419795221843,149.0,0.9534724598015737,Global Development and Multilateral Cooperation
1,0.9587813620071685,0.9683257918552036,0.9635299414678073,1105.0,0.9534724598015737,Centralized Governance and Domestic State Authority
2,0.9591836734693877,0.9676470588235294,0.9633967789165446,340.0,0.9534724598015737,National Economic Identity and Labor Framing
3,0.9323843416370107,0.9527272727272728,0.9424460431654677,275.0,0.9534724598015737,Personalized Political Rhetoric and Executive Communication
4,0.9576515880654476,0.9440227703984819,0.9507883420926899,1054.0,0.9534724598015737,Geopolitical Security and Strategic Relations
accuracy,0.9534724598015737,0.9534724598015737,0.9534724598015737,0.9534724598015737,0.9534724598015737,accuracy
macro avg,0.9435446374802472,0.9423835049353941,0.9428718115721878,2923.0,0.9534724598015737,macro avg
weighted avg,0.9534365148408428,0.9534724598015737,0.9534021756655138,2923.0,0.9534724598015737,weighted avg
